0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,Gross,,,Gross,,,,,,,
,,,,Unrealize,d,,Unrealize,d,,,Cash,and	Cash,Sh,ort-Term
,Adj,usted	Cost,,Gains,,,Losses,,F,air	Value,Equ,ivalents,Inv,estments
Cash,$,"14,624",$,,,$,,,$,"14,624",$,"14,624",$,
Certificates	of	deposit	and	time	deposits,,"14,430",,,,,,,,"14,430",,,,"14,430"
Commercial	paper,,"3,107",,,3,,,,,"3,110",,,,"3,110"
U.S.	government	securities,,"3,609",,,1,,,(2),,"3,608",,,,"3,608"
Corporate	debt	securities,,47,,,,,,,,47,,,,47
Money	market	funds,,963,,,,,,,,963,,963,,
"Total	cash,	cash	equivalents	and	short-term	inve",stments $,"36,780",$,,4,$,,(2),$,"36,782",$,"15,587",$,"21,195"
