Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
Cash,$,"14,386",,$,,,$,,,$,"14,386",,$,"14,386",,$,
Certificates of deposit and time deposits,"12,767",,,,,,,,,"12,767",,,,,,"12,767",
Commercial paper,"3,908",,,11,,,,,,"3,919",,,,,,"3,919",
U.S. government securities,"3,618",,,3,,,(1),,,"3,620",,,,,,"3,620",
Corporate debt securities,117,,,1,,,,,,118,,,,,,118,
Money market funds,"1,753",,,,,,,,,"1,753",,,"1,753",,,,
"Total cash, cash equivalents and short-term
investments",$,"36,549",,$,15,,$,(1),,$,"36,563",,$,"16,139",,$,"20,424"
