Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
Cash,$,"14,624",,$,,,$,,,$,"14,624",,$,"14,624",,$,
Certificates of deposit and time deposits,"14,430",,,,,,,,,"14,430",,,,,,"14,430",
Commercial paper,"3,107",,,3,,,,,,"3,110",,,,,,"3,110",
U.S. government securities,"3,609",,,1,,,(2),,,"3,608",,,,,,"3,608",
Corporate debt securities,47,,,,,,,,,47,,,,,,47,
Money market funds,963,,,,,,,,,963,,,963,,,,
"Total cash, cash equivalents and short-term investments",$,"36,780",,$,4,,$,(2),,$,"36,782",,$,"15,587",,$,"21,195"
