Other comprehensive income (loss):,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9
Foreign currency translation adjustment,585,,(72),,836,,(324),
"Unrealized net (loss) gain on investments, net of tax",(3),,4,,(8),,,
Total other comprehensive income (loss):,582,,(68),,828,,(324),
Comprehensive income,"1,772",,"1,348",,"2,438",,"2,497",
Less: Comprehensive income attributable to noncontrolling interests and redeemable noncontrolling interests in subsidiaries,18,,16,,29,,31,
Comprehensive income attributable to common stockholders,$,"1,754",$,"1,332",$,"2,409",$,"2,466"
