Description_1,Financial_Data_2,Year_Period_3,Financial_Data_4,Financial_Data_5,Year_Period_6,Financial_Data_7,Financial_Data_8,Year_Period_9,Financial_Data_10,Financial_Data_11,Year_Period_12,Financial_Data_13
,,2025,,,2024,,,2025,,,2024,
Net income,$,,"1,190",$,,"1,416",$,,"1,610",$,,"2,821"
Foreign currency translation adjustment,,,585,,,(72),,,836,,,(324)
"Unrealized net (loss) gain on investments, net of tax",,,(3),,,4,,,(8),,,
Total other comprehensive income (loss):,,,582,,,(68),,,828,,,(324)
Comprehensive income,,,"1,772",,,"1,348",,,"2,438",,,"2,497"
interests and redeemable noncontrolling interests in subsidiaries,,,18,,,16,,,29,,,31
Comprehensive income attributable to common stockholders,$,,"1,754",$,,"1,332",$,,"2,409",$,,"2,466"
