"Three Months Ended June 30,
2024","Redeemable
Noncontrolling
Interests",Common Shares,"Stock
Amount","Additional
Paid-In
Capital","Other
Comprehensive Loss","Retained
Earnings","Total
Stockholders'
Equity","Noncontrolling
Interests in
Subsidiaries","Total
Equity"
"Balance as of March 31, 2024","$
73","3,189","$
3","$
35,763","$
(399)","$
29,508","$
64,875","$
729","$
65,604"
"Issuance of common stock for
equity incentive awards
Stock-based compensation",,5,,"196
484",,,"196
484",,"196
484"
"Distributions to noncontrolling
interests","(2)
13",,,,,,,(21),(21)
Net income,1,,,,,"1,400","1,400",15,"1,415"
Other comprehensive loss,-,,,,(68),,(68),,(68)
"Balance as of June 30, 2024","$
72","3,194","$
3","$
36,443","$
(467)","$
30,908","$
66,887","$
723","$
67,610"
